created_at,last_updated_at,city_name,country_id
2024-06-28 08:04:52,2024-06-28 08:04:52,AMSTERDAM,17
2024-06-28 08:04:52,2024-06-28 08:04:52,ATHINAI (Athens),11
2024-06-28 08:04:52,2024-06-28 08:04:52,BEOGRAD (Belgrade),22
2024-06-28 08:04:52,2024-06-28 08:04:52,BERLIN,10
2024-06-28 08:04:52,2024-06-28 08:04:52,BUCURESTI (Bucharest),21
2024-06-28 08:04:52,2024-06-28 08:04:52,BUDAPEST,12
2024-06-28 08:04:52,2024-06-28 08:04:52,Barcelona,23
2024-06-28 08:04:52,2024-06-28 08:04:52,Birmingham,25
2024-06-28 08:04:52,2024-06-28 08:04:52,Bremen,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Dnepropetrovsk,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Donetsk,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Dortmund,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Duisburg,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Dusseldorf,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Essen,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Frankfurt am Main,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Genova,13
2024-06-28 08:04:52,2024-06-28 08:04:52,Glasgow,25
2024-06-28 08:04:52,2024-06-28 08:04:52,HELSINKI,8
2024-06-28 08:04:52,2024-06-28 08:04:52,Hamburg,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Hannover,10
2024-06-28 08:04:52,2024-06-28 08:04:52,KIEV,26
2024-06-28 08:04:52,2024-06-28 08:04:52,KISHINEV,16
2024-06-28 08:04:52,2024-06-28 08:04:52,KOBENHAVN (Copenhagen),7
2024-06-28 08:04:52,2024-06-28 08:04:52,Kharkov,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Krakow,19
2024-06-28 08:04:52,2024-06-28 08:04:52,Kryvy Rig,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Koln (Cologne),10
2024-06-28 08:04:52,2024-06-28 08:04:52,LISBOA (Lisbon),20
2024-06-28 08:04:52,2024-06-28 08:04:52,LONDON,25
2024-06-28 08:04:52,2024-06-28 08:04:52,Leeds,25
2024-06-28 08:04:52,2024-06-28 08:04:52,Lvov,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Lodz,19
2024-06-28 08:04:52,2024-06-28 08:04:52,MADRID,23
2024-06-28 08:04:52,2024-06-28 08:04:52,MINSK,2
2024-06-28 08:04:52,2024-06-28 08:04:52,Marseille,9
2024-06-28 08:04:52,2024-06-28 08:04:52,Milano (Milan),13
2024-06-28 08:04:52,2024-06-28 08:04:52,Mykolaiv,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Malaga,23
2024-06-28 08:04:52,2024-06-28 08:04:52,Munchen (Munich),10
2024-06-28 08:04:52,2024-06-28 08:04:52,Napoli (Naples),13
2024-06-28 08:04:52,2024-06-28 08:04:52,OSLO,18
2024-06-28 08:04:52,2024-06-28 08:04:52,Odessa,26
2024-06-28 08:04:52,2024-06-28 08:04:52,PARIS,9
2024-06-28 08:04:52,2024-06-28 08:04:52,PRAHA (Prague),6
2024-06-28 08:04:52,2024-06-28 08:04:52,Palermo,13
2024-06-28 08:04:52,2024-06-28 08:04:52,Poznan,19
2024-06-28 08:04:52,2024-06-28 08:04:52,RIGA,14
2024-06-28 08:04:52,2024-06-28 08:04:52,ROMA,13
2024-06-28 08:04:52,2024-06-28 08:04:52,Rotterdam,17
2024-06-28 08:04:52,2024-06-28 08:04:52,SARAJEVO,3
2024-06-28 08:04:52,2024-06-28 08:04:52,SOFIA,4
2024-06-28 08:04:52,2024-06-28 08:04:52,STOCKHOLM,24
2024-06-28 08:04:52,2024-06-28 08:04:52,Salonika,11
2024-06-28 08:04:52,2024-06-28 08:04:52,Sevilla,23
2024-06-28 08:04:52,2024-06-28 08:04:52,Sheffield,25
2024-06-28 08:04:52,2024-06-28 08:04:52,Stuttgart,10
2024-06-28 08:04:52,2024-06-28 08:04:52,Torino (Turin),13
2024-06-28 08:04:52,2024-06-28 08:04:52,VILNIUS,15
2024-06-28 08:04:52,2024-06-28 08:04:52,Valencia,23
2024-06-28 08:04:52,2024-06-28 08:04:52,WARSZAWA (Warsaw),19
2024-06-28 08:04:52,2024-06-28 08:04:52,WIEN (Vienna),1
2024-06-28 08:04:52,2024-06-28 08:04:52,Wroclaw (Breslau),19
2024-06-28 08:04:52,2024-06-28 08:04:52,ZAGREB,5
2024-06-28 08:04:52,2024-06-28 08:04:52,Zaporozhye,26
2024-06-28 08:04:52,2024-06-28 08:04:52,Zaragoza,23
